RandomID,Respondent ID,Progress,Duration (in seconds),Q1_Consent,Q2_PurchaseRecent,Q3_DecisionRole,Q4_PurchaseFreq,Q5_UsualChannel,Q5_UsualChannel_5_TEXT,Q6_BrandsBought,Q6_BrandsBought_9_TEXT,Q7_BrandMostOften,Q8_AttrImportance_1,Q8_AttrImportance_2,Q8_AttrImportance_3,Q8_AttrImportance_4,Q8_AttrImportance_5,Q8_AttrImportance_6,Q8_AttrImportance_7,Q8h_QualityCheck_Trap1,Q9_Tradeoff,Q10_ActiveSeeking,Q11_Appeal,Q12_PurchaseIntent,Q13_Replacement,Q13A_WhatReplaced,Q14_InterestComparison,Q15_AttentionCheck_1,Q16_PurchaseLocation,Q17a_Price399,Q17b_Price499,Q17c_Price599,Q17d_Price699,Q17e_Price799,Q18_PriceTooExpensive,Q19_ClubStore4Pack,Q20_OnlineDelivery,Q21_DietFocus,Q22_HouseholdType,Q23_Age,Q24_Income,ClaimCell,ConceptLabel
RandomID,Respondent ID,Progress,Duration (in seconds),You are invited to participate in a short survey about ice cream purchasing. Your responses are anonymous and for academic research only. You may stop at any time.,Have you purchased ice cream in the past 6 months?,"When ice cream is purchased for your household, what is your role in deciding which ice cream to buy?",How often do you buy ice cream?,Where do you usually buy ice cream? - Selected Choice,Where do you usually buy ice cream? - Other (please specify) - Text,Which brands have you purchased in the last 3 months? (Select all that apply.) - Selected Choice,Which brands have you purchased in the last 3 months? (Select all that apply.) - Other (please specify) - Text,Which brand do you purchase most often?,"When choosing ice cream, how important is each of the following? - Taste","When choosing ice cream, how important is each of the following? - Price","When choosing ice cream, how important is each of the following? - Brand reputation","When choosing ice cream, how important is each of the following? - Low/zero sugar","When choosing ice cream, how important is each of the following? - High protein","When choosing ice cream, how important is each of the following? - Short/clean ingredient list","When choosing ice cream, how important is each of the following? - Low calorie content","To ensure data quality, please select ""Not at all important"" for this item.","If you had to choose only one, which would be more important in ice cream?",Which statement best describes you?,"Thinking about the Breyers Better For You ice cream [Field-ConceptLabel]:
 
 How appealing is this product concept?","Thinking about the Breyers Better For You ice cream [Field-ConceptLabel]:
 
 If this product were available where you shop, how likely would you be to buy it?","Thinking about the Breyers Better For You ice cream [Field-ConceptLabel]:
 
 If you purchased this product, would it:","Thinking about the Breyers Better For You ice cream [Field-ConceptLabel]:
 
 If it replaced your usual ice cream at least sometimes, what would it most likely replace?","Thinking about the Breyers Better For You ice cream [Field-ConceptLabel]:
 
 Compared to regular ice cream, how interested are you in this product?","Thinking about the Breyers Better For You ice cream [Field-ConceptLabel]:
 
 To confirm you are paying attention, please select ""Somewhat agree"" below.","Thinking about the Breyers Better For You ice cream [Field-ConceptLabel]:
 
 Where would you most likely purchase this type of product?",How likely would you be to buy it at $3.99?,How likely would you be to buy it at $4.99?,How likely would you be to buy it at $5.99?,How likely would you be to buy it at $6.99?,How likely would you be to buy it at $7.99?,"Setting aside the prices you were just asked about, at what price point would a 1-pint container of this product feel too expensive to purchase?
 $__________ (e.g., 7.99)","If this product were sold as a 4-pack at a club store (e.g., Costco or Sam's), would you consider buying it?",How likely would you be to purchase this product through online grocery delivery?,Which of the following best describes you right now?,Which best describes your household?,What is your age?,What is your approximate annual household income?,ClaimCell,ConceptLabel
55503,R001,100,572,1,1,1,1,2,,"1,2,3,5",,2,1,2,3,4,5,4,3,1,1,3,4,2,2,1,3,4,2,2,3,3,1,1,2,2,2,1,3,2,2,3,with higher protein and low or zero added sugar
87220,R002,100,555,1,1,1,1,2,,"3,4,5,7",,6,1,3,3,3,3,3,3,1,1,2,1,2,1,4,2,4,2,1,2,1,1,1,1,1,3,2,1,3,1,2,with low or zero added sugar
81350,R005,100,309,1,1,1,2,1,,"2,3,9","Straus Family Creamery, Van Leeuwen",3,5,3,3,1,1,5,1,1,3,4,3,2,3,,1,4,1,4,3,1,2,1,3.99,1,3,1,1,2,5,3,with higher protein and low or zero added sugar
17899,R006,100,279,1,1,1,3,1,,"2,3",,2,5,4,3,3,4,4,5,1,3,2,5,5,2,2,5,4,1,5,5,5,4,4,7,5,3,3,4,3,4,1,with higher protein
53495,R007,100,278,1,1,1,1,1,,"3,8,9",VAN LEEUWEN,3,5,2,3,2,2,5,3,1,3,4,2,1,2,3,1,4,1,2,2,2,2,1,7.99,1,1,1,3,2,6,2,with low or zero added sugar
64798,R008,100,1019,1,1,2,3,2,,"7,8,9","Intl. stuff - Samanco, Michoacana, etc.",9,4,4,1,2,1,4,3,1,4,4,3,3,4,,3,4,1,4,3,2,1,1,5.99,1,1,1,2,2,4,2,with low or zero added sugar
34835,R009,100,313,1,1,1,1,1,,"1,7,8",,1,4,2,1,1,1,1,1,1,3,4,3,3,3,,1,4,1,1,1,1,1,1,4.99,2,1,4,5,1,1,3,with higher protein and low or zero added sugar
43750,R010,100,250,1,1,2,4,1,,2,,2,5,3,4,1,1,3,2,1,3,4,1,1,4,,1,4,4,3,2,3,2,2,9.99,2,2,4,2,2,5,3,with higher protein and low or zero added sugar
57581,R013,100,280,1,1,1,4,1,,4,,4,4,2,3,4,3,4,4,1,2,1,3,4,3,,2,4,1,2,3,4,4,4,10,1,1,1,5,3,6,2,with low or zero added sugar
11619,R014,100,307,1,1,1,4,1,,"2,3,9",telenti,3,5,4,3,1,1,1,1,1,3,4,4,4,1,1,3,4,1,4,3,3,2,1,5,3,3,1,3,3,6,2,with low or zero added sugar
42203,R015,100,333,1,1,1,3,1,,"2,3,9","Talenti, Van Leeuwen",3,5,2,1,2,1,3,3,1,3,1,1,2,3,,1,4,1,1,1,1,1,1,8,1,1,1,2,3,6,1,with higher protein
21521,R016,100,227,1,1,1,3,1,,"2,3",,3,4,2,3,1,1,1,1,1,3,4,1,3,3,,2,4,1,2,3,4,4,4,10,2,2,4,6,2,5,1,with higher protein
7428,R018,100,208,1,1,1,2,1,,3,,3,5,2,4,1,1,2,1,1,3,4,2,2,4,,1,4,1,3,3,4,2,1,7.99,1,1,4,2,2,5,1,with higher protein
1325,R019,100,539,1,1,1,3,1,,"3,4,8",,3,4,3,2,3,1,2,4,1,3,4,3,3,2,6,3,4,1,5,4,4,3,3,7.99,3,1,4,4,3,5,1,with higher protein
3504,R021,100,665,1,1,1,3,1,,2,,2,3,3,3,2,4,4,3,1,1,2,3,4,3,,4,4,1,5,5,3,3,1,7.99,2,1,2,5,2,4,2,with low or zero added sugar
7624,R023,100,199,1,1,1,2,1,,7,,7,5,4,3,2,2,1,1,1,3,4,4,3,2,2,2,4,1,5,5,4,3,1,7.99,4,1,2,1,2,2,2,with low or zero added sugar
4921,R024,100,270,1,1,1,4,1,,2,,2,4,3,5,1,1,1,1,1,3,4,2,3,4,,3,4,1,4,4,3,4,3,7.99,3,3,4,1,2,3,2,with low or zero added sugar
1525,R025,100,155,1,1,1,3,3,,7,,9,3,3,1,1,1,1,1,1,3,4,3,3,3,,3,4,1,4,4,3,2,1,3.98,4,1,4,1,3,3,2,with low or zero added sugar
6289,R026,100,387,1,1,2,3,1,,"2,3",,3,5,3,1,1,1,1,1,1,3,4,1,2,4,,1,4,1,3,3,3,3,1,10,2,1,4,2,1,5,2,with low or zero added sugar
6975,R027,100,191,1,1,2,3,1,,"2,3,7",,2,5,5,4,4,3,3,4,1,2,1,3,4,2,2,4,4,1,4,4,3,3,2,6,2,4,3,3,3,5,2,with low or zero added sugar
8816,R029,100,305,1,1,2,3,1,,4,,3,5,2,3,1,1,1,3,1,2,4,4,4,3,,3,4,1,5,4,3,3,2,7,1,4,3,2,2,4,2,with low or zero added sugar
